graph_id,world,fold,node_id,comparison,primary_arm,comparator_arm,metric,primary_value,comparator_value,comparator_instances,delta
graph_00,industrial_cooling_system,1,node_001,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,gold_embedding_cosine,0.6094464120241153,0.9233904121488898,1,-0.3139440001247745
graph_00,industrial_cooling_system,1,node_001,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,mrr,0.5,0.125,1,0.375
graph_00,industrial_cooling_system,1,node_001,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_5,1.0,0.0,1,1.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,gold_embedding_cosine,0.6094464120241153,0.9245158548459299,1,-0.3150694428218146
graph_00,industrial_cooling_system,1,node_001,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,mrr,0.5,0.25,1,0.25
graph_00,industrial_cooling_system,1,node_001,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_5,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_001,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,match_acc,1.0,0.4,20,0.6
graph_00,industrial_cooling_system,1,node_008,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,gold_embedding_cosine,0.9027011829385397,0.7734297840593476,20,0.12927139887919215
graph_00,industrial_cooling_system,1,node_008,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,mrr,0.14285714285714285,0.14677454489954492,20,-0.003917402042402068
graph_00,industrial_cooling_system,1,node_008,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_1,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_5,0.0,0.2,20,-0.2
graph_00,industrial_cooling_system,1,node_008,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,exact_decode,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,gold_embedding_cosine,0.9027011829385397,0.9097780009772427,1,-0.00707681803870297
graph_00,industrial_cooling_system,1,node_008,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,mrr,0.14285714285714285,0.14285714285714285,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,recall_at_5,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,gold_embedding_cosine,0.9027011829385397,0.9216161551730222,1,-0.018914972234482463
graph_00,industrial_cooling_system,1,node_008,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,mrr,0.14285714285714285,0.1111111111111111,1,0.031746031746031744
graph_00,industrial_cooling_system,1,node_008,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,recall_at_5,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_no_graph,core_oracle_estimated_weights,uniform,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,match_acc,1.0,1.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,gold_embedding_cosine,0.9027011829385397,0.9230617403522718,1,-0.020360557413732105
graph_00,industrial_cooling_system,1,node_008,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,mrr,0.14285714285714285,0.16666666666666666,1,-0.023809523809523808
graph_00,industrial_cooling_system,1,node_008,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_1,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,recall_at_5,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_008,oracle_vs_rawcorr,core_oracle_estimated_weights,raw_correlation,exact_decode,0.0,0.0,1,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,match_acc,1.0,0.35,20,0.65
graph_00,industrial_cooling_system,1,node_013,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,gold_embedding_cosine,0.8873130933953995,0.8340381824845116,20,0.053274910910887985
graph_00,industrial_cooling_system,1,node_013,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,mrr,0.25,0.12846752512193688,20,0.12153247487806312
graph_00,industrial_cooling_system,1,node_013,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_1,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,recall_at_5,1.0,0.3,20,0.7
graph_00,industrial_cooling_system,1,node_013,oracle_vs_shuffle,core_oracle_estimated_weights,core_shuffled_graph,exact_decode,0.0,0.0,20,0.0
graph_00,industrial_cooling_system,1,node_013,oracle_vs_reverse,core_oracle_estimated_weights,core_reversed_graph,match_acc,1.0,1.0,1,0.0
