graph_id,world,shuffle_id,permutation_index,permutation_seed,permutation,permutation_sha256,adjacency_sha256,edge_count,support_validated,n,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode,oracle_minus_shuffle_match_acc,oracle_minus_shuffle_gold_embedding_cosine,oracle_minus_shuffle_mrr,oracle_minus_shuffle_recall_at_1,oracle_minus_shuffle_recall_at_5,oracle_minus_shuffle_exact_decode
graph_01,logistics_and_delivery_system,shuffle_11,11,74212,"[17, 10, 5, 7, 9, 11, 19, 2, 16, 3, 1, 15, 4, 0, 6, 14, 8, 12, 18, 13]",c7d3bf85323cdc7fd0e9c73578d12399e214d3c6e1e6709a139f0ab44bb0397e,7120e6e514a434758a902477ed5758165b7fe6c8c343f2e27c03dd6fb62cc6b4,29,1,20,0.4,0.5965122965726485,0.1676686507936508,0.0,0.4,0.0,0.09999999999999998,0.21507227136144846,0.03681908369408371,0.0,0.09999999999999998,0.0
graph_01,logistics_and_delivery_system,shuffle_12,12,74213,"[8, 4, 5, 19, 17, 0, 1, 9, 11, 13, 14, 18, 15, 12, 10, 7, 3, 16, 2, 6]",1365503ea4a7577ebe6b86ee36e8e0bb8b25cd2703e462a2b9746946fd23abbc,a7aa629fe07b33c954e3bfa132c0439859653432a2398009fb2cba0f7d3fe5b6,29,1,20,0.3,0.7586418355308829,0.14616207622786573,0.0,0.3,0.0,0.2,0.05294273240321401,0.05832565825986877,0.0,0.2,0.0
graph_01,logistics_and_delivery_system,shuffle_13,13,74214,"[15, 10, 3, 4, 5, 8, 14, 11, 18, 6, 13, 17, 1, 7, 19, 2, 12, 16, 0, 9]",a0cfb6ab5250990348717905544054d1d1771f85e176d7a2a16efddcb37738ce,52603895fa0d9c1d3e18243fd0687258873d507bc080b29f6d80e7319e8a92d4,29,1,20,0.4,0.8036600459450393,0.14101749342848413,0.0,0.2,0.0,0.09999999999999998,0.007924521989057687,0.06347024105925037,0.0,0.3,0.0
graph_01,logistics_and_delivery_system,shuffle_14,14,74215,"[7, 18, 2, 4, 6, 17, 9, 1, 0, 19, 10, 13, 8, 11, 5, 16, 14, 12, 3, 15]",00216e6b0781efc7c5edc5e29ffa2591001380d44d9c3be915682c079fb76007,27ced0c6c5aae40904c873ce445d006e0f3886ca2b09d5c5adfc209334e7f97b,29,1,20,0.2,0.774655634373931,0.11331404706404706,0.0,0.15,0.0,0.3,0.03692893356016591,0.09117368742368744,0.0,0.35,0.0
graph_01,logistics_and_delivery_system,shuffle_15,15,74216,"[12, 17, 9, 16, 10, 1, 8, 6, 13, 11, 3, 2, 15, 7, 18, 14, 0, 4, 19, 5]",1d216c150e471e5b994eec16f9a2209c72112654b7f94162ef4cf817161b0af3,dd36f967f101670ad72d5e9bae493b7039c6031566c776327bb666586ffcc9d1,29,1,20,0.2,0.6909747916454343,0.1321895210053105,0.0,0.25,0.0,0.3,0.12060977628866265,0.07229821348242399,0.0,0.25,0.0
graph_01,logistics_and_delivery_system,shuffle_16,16,74217,"[13, 4, 11, 9, 8, 3, 6, 2, 16, 19, 17, 15, 7, 1, 18, 10, 12, 5, 0, 14]",70a0f91daf63b1ee2294ae1004dc8614802db6fa678c1b7b8a27eed125fabc70,bb18ab89f354745e65cbbfe4b5186fcabfefee5e409ace27bb90469578b07582,29,1,20,0.3,0.8069097279250326,0.1306948117242235,0.0,0.15,0.0,0.2,0.004674840009064374,0.07379292276351099,0.0,0.35,0.0
graph_01,logistics_and_delivery_system,shuffle_17,17,74218,"[12, 7, 0, 15, 14, 17, 6, 13, 10, 5, 16, 11, 8, 4, 19, 1, 3, 2, 18, 9]",5b08fe40ec664bc45128e087dcebcf9a0b7e3a965c87c4f91de9853f67c8b74d,b8ecf3d64e2ddc349aa4fd0bda1909d0cb417d0034845822a20799614cb21119,29,1,20,0.35,0.7496779190102776,0.12197982572982576,0.0,0.2,0.0,0.15000000000000002,0.06190664892381936,0.08250790875790874,0.0,0.3,0.0
graph_01,logistics_and_delivery_system,shuffle_18,18,74219,"[8, 15, 17, 3, 5, 19, 7, 18, 4, 2, 10, 12, 1, 16, 13, 0, 14, 6, 9, 11]",0f654a522c001bc385dd9040292bc08ed67cd9a28aa7fe93b95571323d6d0aa0,c7e0cc3cef42ad55daad7d3924ee105eb415919918ede4168310358f29424945,29,1,20,0.45,0.7909825924980087,0.2142731522433535,0.0,0.4,0.0,0.04999999999999999,0.020601975436088216,-0.009785417755619003,0.0,0.09999999999999998,0.0
graph_01,logistics_and_delivery_system,shuffle_19,19,74220,"[15, 12, 4, 13, 19, 1, 18, 8, 10, 3, 2, 9, 11, 0, 14, 16, 6, 17, 7, 5]",84fe192222597b0719a93d3ffc9d7c662e55a048ca353de131c0be3626efdf9a,9c3b75baeb0b3c410e42259f725675f356a2cb195e9eabb52058873799492dab,29,1,20,0.4,0.7688188490085789,0.12695492007992007,0.0,0.2,0.0,0.09999999999999998,0.04276571892551806,0.07753281440781443,0.0,0.3,0.0
graph_02,water_treatment_system,shuffle_00,0,74301,"[6, 16, 14, 18, 5, 8, 2, 1, 10, 19, 9, 4, 7, 13, 12, 11, 0, 15, 17, 3]",43726a9a9c3319bc26f63fc041bbec526d82f15205645fb29519d6d21f262d67,a240f2e8a6378aae84058bb551347724eb929e58016790287989e0ed1134ea16,29,1,20,0.15,0.6557412538322337,0.12904453583052658,0.0,0.2,0.0,0.4,0.09360053771625176,0.04328417196838244,0.0,0.2,0.0
