scope,graph_id,arm,diagnostic,stratum,n,judge_acc,judge_status,match_acc,gold_embedding_cosine,mrr,recall_at_1,recall_at_5,exact_decode
aggregate,aggregate,core_oracle_estimated_weights,visible_child,no,5,,pending,0.8,0.5656791168446185,0.18608187134502924,0.0,0.4,0.0
aggregate,aggregate,core_oracle_estimated_weights,visible_child,yes,55,,pending,0.6727272727272727,0.7618537452663331,0.22361412057936114,0.0,0.5636363636363636,0.0
aggregate,aggregate,core_oracle_true_weights,visible_child,no,5,,pending,0.6,0.6376039905967767,0.16527777777777777,0.0,0.4,0.0
aggregate,aggregate,core_oracle_true_weights,visible_child,yes,55,,pending,0.6909090909090909,0.8005864693436499,0.21502458622779477,0.0,0.5454545454545454,0.0
aggregate,aggregate,core_shuffled_graph,visible_child,no,100,,pending,0.23,0.6965770653793311,0.10676094747186077,0.0,0.13,0.0
aggregate,aggregate,core_shuffled_graph,visible_child,yes,1100,,pending,0.3890909090909091,0.7357022859119174,0.15455828734779622,0.0036363636363636364,0.2781818181818182,0.0036363636363636364
aggregate,aggregate,core_reversed_graph,visible_child,no,5,,pending,0.6,0.847330805560695,0.18705128205128202,0.0,0.2,0.0
aggregate,aggregate,core_reversed_graph,visible_child,yes,55,,pending,0.7272727272727273,0.8786079918687122,0.20844560964881814,0.0,0.4727272727272727,0.0
aggregate,aggregate,raw_correlation,visible_child,no,5,,pending,0.6,0.9026020071558991,0.073015873015873,0.0,0.0,0.0
aggregate,aggregate,raw_correlation,visible_child,yes,55,,pending,0.7272727272727273,0.9171115779707077,0.12029739344684458,0.0,0.16363636363636364,0.0
aggregate,aggregate,uniform,visible_child,no,5,,pending,0.2,0.9055383978945104,0.06962406015037594,0.0,0.0,0.0
aggregate,aggregate,uniform,visible_child,yes,55,,pending,0.2727272727272727,0.9162227200976513,0.09403820840634797,0.0,0.07272727272727272,0.0
graph,graph_00,core_oracle_estimated_weights,visible_child,no,3,,pending,1.0,0.3580104335550754,0.25555555555555554,0.0,0.6666666666666666,0.0
graph,graph_00,core_oracle_estimated_weights,visible_child,yes,17,,pending,1.0,0.7316348872679136,0.2897759103641457,0.0,0.7647058823529411,0.0
