analysis,group,comparison,primary_arm,comparator_arm,metric,status,mean,ci_low,ci_high,confidence_level,paired_win_rate,bootstrap_positive_rate,draws,seed,n_graphs,n_folds,n_nodes
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,mrr,complete,0.10274206235064262,0.045880103191442215,0.17612058702623348,0.95,0.8809523809523809,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,recall_at_5,complete,0.47619047619047616,0.2,0.75,0.95,0.5,0.9996,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,match_acc,complete,0.38095238095238093,0.047619047619047616,0.6666666666666666,0.95,0.4523809523809524,0.9828,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_uniform,full_oracle,uniform,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,gold_cosine,complete,-0.06733181500386827,-0.18614331171603204,-0.021880531927476535,0.95,0.09523809523809523,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,centered_cosine,complete,0.20146382247600153,0.15371715880713863,0.25360942623949434,0.95,0.9761904761904762,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,prediction_margin,complete,-0.04585970442618063,-0.062359113648115944,-0.030025882849721124,0.95,0.023809523809523808,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,mrr,complete,0.08504290267614018,0.03715272838634524,0.15094992622997497,0.95,0.7619047619047619,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,recall_at_5,complete,0.40476190476190477,0.19047619047619047,0.6363636363636364,0.95,0.40476190476190477,1.0,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,match_acc,complete,-0.07142857142857142,-0.3488372093023256,0.1951219512195122,0.95,0.07142857142857142,0.288,10000,88175,3,15,42
structural_group,non_root_visible_parent,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88175,3,15,42
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,gold_cosine,complete,-0.300072901773659,-0.4197665027252372,-0.22012534012601778,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,centered_cosine,complete,0.015917999224760886,-0.07964183257331084,0.1052529990862743,0.95,0.6470588235294118,0.6515,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,prediction_margin,complete,-0.10488477816030889,-0.145602530533622,-0.07272713383806519,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,mrr,complete,0.017477481188553853,-0.02381163234753199,0.06001575630252099,0.95,0.47058823529411764,0.8088,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_5,complete,-0.058823529411764705,-0.3125,0.16666666666666666,0.95,0.058823529411764705,0.1835,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,match_acc,complete,-0.058823529411764705,-0.23529411764705882,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_reversed_full,full_oracle,reversed_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,gold_cosine,complete,-0.06454581695145659,-0.19052110800077512,0.021424735431105155,0.95,0.29411764705882354,0.0847,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,centered_cosine,complete,0.11743789303906194,0.034298890918624196,0.21373165179266346,0.95,0.8235294117647058,0.9986,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,prediction_margin,complete,-0.05950300290482423,-0.10128606532529394,-0.023841592092603503,0.95,0.17647058823529413,0.0004,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,mrr,complete,0.1208073086361422,0.03346276829413546,0.22923786455704026,0.95,0.7647058823529411,0.9983,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,recall_at_5,complete,0.27647058823529413,0.038872549019607974,0.5205882352941176,0.95,0.5882352941176471,0.9895,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,match_acc,complete,0.3058823529411765,0.01764705882352944,0.59,0.95,0.7058823529411765,0.982,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,gold_cosine,complete,-0.34476260426387517,-0.47795784761063853,-0.2608436592554056,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,centered_cosine,complete,0.5591289018991692,0.4437095804248102,0.6775863382627422,0.95,1.0,1.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,prediction_margin,complete,-0.18541271631735512,-0.23374649192168664,-0.14485623406441903,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,mrr,complete,0.19627380880112624,0.07971026903141203,0.32186516741199384,0.95,0.8823529411764706,0.9998,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,recall_at_5,complete,0.47058823529411764,0.058823529411764705,0.8666666666666667,0.95,0.5294117647058824,0.9815,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,match_acc,complete,0.47058823529411764,0.11764705882352941,0.8,0.95,0.47058823529411764,0.9941,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_uniform,full_oracle,uniform,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,gold_cosine,complete,-0.3436398926880966,-0.474048647997194,-0.26137684718051957,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,centered_cosine,complete,0.12140475598978562,0.00894246802097802,0.23625224428594363,0.95,0.7647058823529411,0.9832,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,prediction_margin,complete,-0.16858170150027707,-0.21498003060993842,-0.13033682951677955,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,mrr,complete,0.15404736555255585,0.06564191191827609,0.2621984803391053,0.95,0.9411764705882353,1.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,recall_at_5,complete,0.35294117647058826,0.10526315789473684,0.6470588235294118,0.95,0.35294117647058826,0.9964,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,match_acc,complete,0.0,-0.23529411764705882,0.25,0.95,0.058823529411764705,0.363,10000,88176,3,15,17
structural_group,no_visible_parent_visible_child,full_oracle_minus_raw_correlation,full_oracle,raw_correlation,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88176,3,15,17
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,gold_cosine,complete,-1.4810288641259457,-1.4810288641259457,-1.4810288641259457,0.95,0.0,0.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,centered_cosine,complete,0.05744391505121403,0.05744391505121403,0.05744391505121403,0.95,1.0,1.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,prediction_margin,complete,-0.053595791758035194,-0.053595791758035194,-0.053595791758035194,0.95,0.0,0.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,mrr,complete,-0.04999999999999999,-0.04999999999999999,-0.04999999999999999,0.95,0.0,0.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_1,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,recall_at_5,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,match_acc,complete,1.0,1.0,1.0,0.95,1.0,1.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_reversed_full,full_oracle,reversed_full,exact,complete,0.0,0.0,0.0,0.95,0.0,0.0,10000,88177,1,1,1
structural_group,no_visible_structural_anchor,full_oracle_minus_shuffled_full,full_oracle,shuffled_full,gold_cosine,complete,-1.0453528160782883,-1.0453528160782883,-1.0453528160782883,0.95,0.0,0.0,10000,88177,1,1,1
