graph_id,world,fold,node_id,arm,shuffle_id,term,term_active,optimization_applicable,status,raw_final_gradient_norm,active_final_gradient_norm,total_final_gradient_norm,raw_near_zero,near_zero,exploding,nonfinite
graph_00,industrial_cooling_system,0,node_012,independence_only_oracle,,residual_norm,False,True,,0.0,0.0,3.087981167482212e-05,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,independence_only_oracle,,residual_norm,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,independence_only_oracle,,residual_alignment,False,True,,0.0,0.0,3.6654579162131995e-05,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,independence_only_oracle,,residual_alignment,False,True,,0.0,0.0,4.224198710289784e-05,True,True,False,False
graph_00,industrial_cooling_system,0,node_012,independence_only_oracle,,residual_alignment,False,True,,0.0,0.0,3.087981167482212e-05,True,True,False,False
graph_00,industrial_cooling_system,0,node_018,independence_only_oracle,,residual_alignment,False,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,independence_only_oracle,,independence,True,True,,3.6654579162131995e-05,3.6654579162131995e-05,3.6654579162131995e-05,False,False,False,False
graph_00,industrial_cooling_system,0,node_007,independence_only_oracle,,independence,True,True,,8.928163151722401e-05,8.928163151722401e-05,4.224198710289784e-05,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,independence_only_oracle,,independence,True,True,,4.013112265965901e-05,4.013112265965901e-05,3.087981167482212e-05,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,independence_only_oracle,,independence,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,independence_only_oracle,,bridge,True,True,,0.0,0.0,3.6654579162131995e-05,True,True,False,False
graph_00,industrial_cooling_system,0,node_007,independence_only_oracle,,bridge,True,True,,0.00012716515630017966,0.00012716515630017966,4.224198710289784e-05,False,False,False,False
graph_00,industrial_cooling_system,0,node_012,independence_only_oracle,,bridge,True,True,,6.895809929119423e-05,6.895809929119423e-05,3.087981167482212e-05,False,False,False,False
graph_00,industrial_cooling_system,0,node_018,independence_only_oracle,,bridge,True,True,,0.0,0.0,0.0,True,True,False,False
graph_00,industrial_cooling_system,0,node_000,independence_only_oracle,,norm,False,True,,0.0688256025314331,0.0,3.6654579162131995e-05,False,True,False,False
